resource_id,type,capacity,lat,lon,status
Boat_1,boat,18,29.50541380259883,70.77040492182532,available
Boat_2,boat,16,29.69647347717383,70.56493810543928,available
Boat_3,boat,17,29.69814654446672,70.77841661219735,available
Boat_4,boat,11,29.312792655231917,70.87457202380737,available
Boat_5,boat,16,29.353621439069094,70.68924364132398,available
Boat_6,boat,16,29.275733601650415,70.88812745099007,available
RescueTeam_1,medical_team,5,29.73682413346787,70.84330998450686,available
RescueTeam_2,medical_team,7,29.45118032177948,70.68746005355145,available
RescueTeam_3,medical_team,4,29.52638597519519,70.77730388322713,available
RescueTeam_4,medical_team,6,29.403180314947434,70.92883262254415,available
